------------------------------------------------------------------
Compound Eye Intelligence Design Lab.
By Gary S. Gaulin, 2011. 
------------------------------------------------------------------
 Lobes   : 1
 Data    : 9 bits, 2 bytes per data location
 Address : 26 total addressing bits, 67,108,864 data locations
         : 24 subsystem addressing bits, 16,777,216 data locations
 Date    : 10/22/11
 Time    : 03:03:26 AM
-----------------------------------------|---------------
                  ADDRESS                |    DATA
-----------------------------------------|---------------
                                         |     L      F  
                                         |     /  M M /  
                                         |     R  o o R  
                           R   C         | M M    t t    
     L                     i   o         | o o C  o o C  
     e          T          g R r G G     | t t o  r r o  
   L f          a R   R    h i r o o     | o o n      n  
   e t L    L   s i   i    t g e F R   G | r r f  F R f  
S  f T e    e   t g   g    T h l o e G o |     i  o e i  
y  t o f    f   e h   h    o t a r v o R |   R d  r v d  
s  S w t    t   F t   t    w S t w e L i | L i e  w e e  
t  e a E    A   o A   E    a e i a r e g | e g n  a r n  
e  e r y    n   o n   y    r e o r s f h | f h c  r s c  
m  s d e    t   d t   e    d s n d e t t | t t e  d e e  
---------------------------------------------------------
10 0 0 0000 111 0 110 1111 1 0 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1111 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1111 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1111 0 1 0 1 0 0 1 - 0 1 10 0 1 00
00 0 0 0000 111 0 101 1111 0 1 0 0 1 0 1 - 0 1 11 0 1 00
01 0 0 0000 110 0 100 1111 0 1 0 0 1 0 1 - 0 1 11 1 1 00
10 0 0 0000 110 0 100 1110 0 1 0 1 1 0 1 - 0 1 01 1 1 00
00 0 0 0000 110 0 100 1110 0 1 0 1 1 0 1 - 0 1 10 0 1 01
01 0 0 0000 101 0 011 1110 1 1 0 0 1 0 1 - 0 1 11 0 1 11
10 0 0 0000 100 0 010 1110 1 1 0 0 1 0 1 - 0 1 11 0 1 11
00 0 0 0000 011 0 001 1101 1 1 0 0 1 0 1 - 0 1 11 0 1 11
01 0 0 0000 010 0 000 1101 1 1 0 0 1 0 1 - 0 1 11 0 1 11
10 0 0 0000 001 0 000 1101 1 1 0 0 1 0 1 - 0 1 11 0 1 11
00 0 0 0000 001 0 000 1100 1 1 0 0 1 0 1 - 0 1 11 1 0 11
01 0 0 0000 010 0 000 1100 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 011 0 001 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 010 0 100 1011 1 1 0 1 0 0 1 - 0 1 01 1 0 01
01 0 0 0000 101 0 011 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 110 0 100 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 101 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1010 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1100 1 1 0 1 0 0 1 - 1 1 00 0 0 00
10 0 0 0000 111 0 111 1100 0 1 0 0 0 1 1 - 0 1 00 1 0 00
00 0 0 0000 111 0 110 1100 0 1 0 1 0 0 1 - 0 1 11 0 1 00
01 0 0 0000 111 0 101 1100 0 1 0 0 1 0 1 - 0 1 01 0 0 00
10 0 0 0000 111 0 101 1100 0 1 0 0 0 0 1 - 0 1 01 0 1 01
00 0 0 0000 110 0 100 1100 1 1 0 0 1 0 1 - 0 1 10 0 1 10
01 0 0 0000 101 0 011 1100 1 1 0 0 1 0 1 - 0 1 01 0 1 01
10 0 0 0000 100 0 010 1011 1 1 0 0 1 0 1 - 0 1 10 0 1 10
00 0 0 0000 011 0 001 1011 1 1 0 0 1 0 1 - 0 1 10 0 1 10
01 0 0 0000 010 0 000 1010 1 1 0 0 1 0 1 - 0 1 10 0 1 01
10 0 0 0000 001 0 000 1010 1 1 0 0 1 0 1 - 0 1 11 1 0 00
00 0 0 0000 010 0 000 1001 0 1 0 1 0 0 1 - 0 1 01 0 0 00
01 0 0 0000 010 0 000 1001 0 1 0 0 0 0 1 - 0 1 01 0 0 00
10 0 0 0000 010 0 000 1000 0 1 0 0 0 0 1 - 0 1 01 1 0 00
00 0 1 0001 011 0 001 1000 0 1 0 1 0 0 1 - 0 1 01 0 1 00
01 1 1 0001 010 0 000 0111 0 1 1 0 1 0 1 - 0 1 01 0 0 00
10 1 0 0001 010 0 000 0111 0 1 1 0 0 0 1 - 0 1 01 0 1 00
00 1 0 0010 001 0 000 0110 0 1 1 0 1 0 1 - 0 1 10 1 1 00
01 1 0 0010 001 0 000 0110 0 1 1 1 1 0 1 - 0 1 10 0 1 00
10 1 0 0010 001 0 000 0101 0 1 1 0 1 0 1 - 0 1 01 0 0 00
00 1 0 0011 001 0 000 0101 0 1 1 0 0 0 1 - 0 1 10 0 1 00
01 1 0 0011 001 0 000 0101 0 1 1 0 1 0 1 - 0 1 10 0 0 00
10 1 0 0100 001 0 000 0100 0 1 1 0 0 0 1 - 1 1 01 0 0 00
00 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 01 0 0 00
01 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 10 0 1 00
10 1 0 0100 000 0 000 0100 0 1 1 0 1 1 1 - 1 1 01 1 1 00
00 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 01 0 0 00
01 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 11 0 0 00
10 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 11 0 0 00
00 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 11 1 1 00
01 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 10 1 0 00
10 1 0 0100 001 0 001 0100 0 1 1 1 0 1 1 - 1 1 01 0 1 00
00 1 0 0100 000 0 000 0100 0 1 1 0 1 1 1 - 1 1 10 1 1 00
01 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 0 1 00
10 1 0 0100 000 0 000 0100 0 1 1 0 1 1 1 - 1 1 11 1 1 00
00 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 1 1 00
01 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 0 0 00
10 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 11 1 1 00
00 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 1 1 00
01 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 0 1 00
10 1 0 0100 000 0 000 0100 0 1 1 0 1 1 1 - 1 1 11 1 0 00
00 1 0 0100 001 0 001 0100 0 1 1 1 0 1 1 - 1 1 10 1 0 00
01 1 0 0100 010 0 010 0100 0 1 1 1 0 1 1 - 1 1 01 1 1 00
10 1 0 0100 010 0 010 0100 0 1 1 1 1 1 1 - 1 1 01 0 0 00
00 1 0 0100 010 0 010 0100 0 1 1 0 0 1 1 - 1 1 01 1 1 00
01 1 0 0100 010 0 010 0100 0 1 1 1 1 1 1 - 1 1 10 1 0 00
10 1 0 0100 011 0 011 0100 0 1 1 1 0 1 1 - 1 1 01 1 1 00
00 1 0 0100 011 0 011 0100 0 1 1 1 1 1 1 - 1 1 01 0 0 00
01 1 0 0100 011 0 011 0100 0 1 1 0 0 1 1 - 1 1 01 1 1 00
10 1 0 0100 011 0 011 0100 0 1 1 1 1 1 1 - 1 1 10 0 0 00
00 1 0 0100 011 0 011 0100 0 1 1 0 0 1 1 - 1 1 10 1 0 01
01 1 1 0100 100 0 100 0100 1 1 1 1 0 1 1 - 1 1 01 1 0 01
10 1 1 0100 101 0 101 0100 1 1 1 1 0 1 1 - 1 1 01 1 0 01
00 1 1 0100 110 0 110 0100 1 1 1 1 0 1 1 - 1 1 01 1 0 01
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 01 1 0 01
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 10 1 0 10
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 10 1 0 11
00 1 1 0011 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 00 1 0 01
01 1 1 0011 111 0 111 0100 1 1 1 1 0 1 1 - 0 1 01 1 0 10
10 1 1 0100 111 0 110 0100 1 1 0 1 0 0 1 - 0 1 01 1 0 01
00 1 1 0100 111 0 110 0100 1 1 0 1 0 0 1 - 0 1 00 1 0 10
01 1 1 0100 111 0 110 0011 1 1 1 1 0 0 1 - 0 1 00 1 0 10
10 1 1 0101 111 0 110 0011 1 1 1 1 0 0 1 - 0 1 00 1 0 01
00 1 1 0101 111 0 110 0010 1 1 0 1 0 0 1 - 1 0 00 0 1 01
01 1 1 0101 101 0 111 0010 1 1 0 0 1 1 0 - 0 0 00 0 1 01
10 1 1 0101 101 0 101 0010 1 1 0 0 1 0 0 - 1 0 01 0 1 01
00 1 1 0100 011 0 101 0010 1 1 0 0 1 1 0 - 1 0 01 0 1 00
01 1 1 0100 010 0 100 0011 1 1 0 0 1 1 0 - 1 0 01 1 0 00
10 1 1 0100 011 0 101 0011 1 1 1 1 0 1 0 - 1 0 01 0 1 00
00 1 1 0011 010 0 100 0011 1 1 1 0 1 1 0 - 1 0 00 0 0 00
01 1 0 0011 010 0 100 0100 0 1 1 0 0 1 0 - 1 0 00 0 0 00
10 1 0 0011 010 0 100 0100 1 1 1 0 0 1 0 - 0 1 01 1 0 01
00 1 1 0011 101 0 011 0011 0 1 0 1 0 0 1 - 0 1 01 1 0 01
01 1 1 0011 110 0 100 0011 1 1 0 1 0 0 1 - 0 1 00 1 0 01
10 1 1 0011 111 0 101 0010 1 1 1 1 0 0 1 - 0 1 01 1 0 01
00 1 1 0011 111 1 110 0001 0 1 1 1 0 0 1 - 0 1 01 1 0 01
01 1 0 0010 111 1 110 0001 0 1 0 1 0 0 1 - 0 1 00 1 0 00
10 1 0 0000 111 0 110 0000 0 1 0 1 0 0 1 - 0 1 01 1 0 00
00 1 0 0000 111 0 110 0000 0 1 0 1 0 0 1 - 0 1 10 0 0 00
01 0 0 0000 111 0 110 0000 0 1 0 0 0 0 1 - 0 1 10 1 0 00
10 0 0 0000 111 0 110 0000 0 0 0 1 0 0 1 - 0 1 11 0 0 00
00 0 1 1111 111 0 110 0000 0 0 0 0 0 0 1 - 0 1 01 0 0 00
01 0 0 1111 111 0 110 0000 0 0 0 0 0 0 1 - 0 1 01 1 1 00
10 0 0 0000 111 0 110 0000 0 0 0 1 1 0 1 - 0 1 01 0 0 00
00 1 0 0000 111 0 110 0000 0 0 0 0 0 0 1 - 0 1 01 1 1 00
01 0 0 0000 111 0 110 0000 0 0 0 1 1 0 1 - 0 1 10 0 0 00
10 0 0 0000 111 0 110 0000 0 0 0 0 0 0 1 - 0 1 11 1 0 00
00 0 0 0000 111 0 110 0000 0 0 0 1 0 0 1 - 0 1 11 0 1 00
01 0 0 0000 111 0 101 0000 0 0 0 0 1 0 1 - 0 1 11 0 1 00
10 0 0 0000 110 0 100 0000 0 0 0 0 1 0 1 - 0 1 11 0 0 00
00 0 0 0000 110 0 100 0000 0 0 0 0 0 0 1 - 0 1 10 1 1 00
01 0 0 0000 110 0 100 0000 0 0 0 1 1 0 1 - 0 1 01 0 0 00
10 0 0 0000 110 0 100 0000 0 0 0 0 0 0 1 - 0 1 11 1 1 00
00 0 0 0000 110 0 100 0000 0 0 0 1 1 0 1 - 0 1 10 1 1 01
01 0 0 0000 110 0 100 1111 1 0 0 1 1 0 1 - 0 1 01 1 1 01
10 0 0 0000 110 0 100 0000 0 0 0 1 1 0 1 - 0 1 11 1 1 10
00 0 0 0000 110 0 100 1111 1 1 0 1 1 0 1 - 0 1 01 1 1 01
01 0 0 0000 110 0 100 1111 1 1 0 1 1 0 1 - 0 1 10 1 1 10
10 0 0 0000 110 0 100 1111 1 1 0 1 1 0 1 - 0 1 11 1 1 01
00 0 0 0000 110 0 100 1111 1 1 0 1 1 0 1 - 0 1 11 1 1 00
01 0 0 0000 110 0 100 1111 0 1 0 1 1 0 1 - 0 1 01 0 1 00
10 0 0 0000 101 0 011 1111 0 1 0 0 1 0 1 - 0 1 10 1 0 00
00 0 0 0000 110 0 100 1110 0 1 0 1 0 0 1 - 0 1 10 0 0 00
01 0 0 0000 110 0 100 1110 0 1 0 0 0 0 1 - 0 1 10 0 0 00
10 0 0 0000 110 0 100 1110 0 1 0 0 0 0 1 - 0 1 11 0 1 01
00 0 0 0000 101 0 011 1110 1 1 0 0 1 0 1 - 0 1 11 0 1 11
01 0 0 0000 100 0 010 1110 1 1 0 0 1 0 1 - 0 1 11 0 1 11
10 0 0 0000 011 0 001 1101 1 1 0 0 1 0 1 - 0 1 11 0 1 11
00 0 0 0000 000 0 010 1101 1 1 0 0 1 0 1 - 0 1 01 0 1 01
01 0 0 0000 001 0 000 1100 1 1 0 0 1 0 1 - 0 1 11 1 0 11
10 0 0 0000 010 0 000 1100 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 011 0 001 1100 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 100 0 010 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 101 0 011 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 110 0 100 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 101 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
10 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
00 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 11 1 0 11
01 0 0 0000 111 0 110 1011 1 1 0 1 0 0 1 - 0 1 10 1 0 10
10 0 0 0000 111 0 110 1100 0 1 0 1 0 0 1 - 0 1 11 0 0 00
00 0 0 0000 111 0 110 1100 0 1 0 0 0 0 1 - 0 1 01 1 0 00
01 0 0 0000 111 0 110 1100 0 1 0 1 0 0 1 - 0 1 11 0 0 00
10 0 0 0000 111 0 110 1100 0 1 0 0 0 0 1 - 0 1 10 1 1 00
00 0 0 0000 111 0 110 1100 0 1 0 1 1 0 1 - 0 1 01 1 0 00
01 0 0 0000 111 0 110 1100 0 1 0 1 0 0 1 - 0 1 11 0 1 01
10 0 0 0000 111 0 101 1100 1 1 0 0 1 0 1 - 0 1 10 0 1 10
00 0 0 0000 110 0 100 1100 1 1 0 0 1 0 1 - 0 1 11 0 1 11
01 0 0 0000 101 0 011 1011 1 1 0 0 1 0 1 - 0 1 10 0 1 10
10 0 0 0000 100 0 010 1011 1 1 0 0 1 0 1 - 0 1 11 0 1 11
00 0 0 0000 011 0 001 1011 1 1 0 0 1 0 1 - 0 1 11 0 1 11
01 0 0 0000 010 0 000 1010 1 1 0 0 1 0 1 - 0 1 11 0 1 00
10 0 0 0000 001 0 000 1010 0 1 0 0 1 0 1 - 0 1 10 0 0 00
00 0 0 0000 001 0 000 1001 0 1 0 0 0 0 1 - 0 1 01 1 0 00
01 0 0 0000 010 0 000 1000 0 1 0 1 0 0 1 - 0 1 01 1 0 00
10 0 0 0000 011 0 001 1000 0 1 0 1 0 0 1 - 0 1 01 0 1 00
00 0 1 0001 010 0 000 1000 0 1 0 0 1 0 1 - 0 1 01 0 0 00
01 1 1 0001 010 0 000 0111 0 1 1 0 0 0 1 - 0 1 01 0 0 00
10 1 0 0001 010 0 000 0111 0 1 1 0 0 0 1 - 0 1 10 0 1 00
00 1 0 0010 001 0 000 0110 0 1 1 0 1 0 1 - 0 1 11 1 1 00
01 1 0 0010 001 0 000 0110 0 1 1 1 1 0 1 - 0 1 11 1 1 00
10 1 0 0011 001 0 000 0101 0 1 1 1 1 0 1 - 0 1 01 1 1 00
00 1 0 0011 001 0 000 0101 0 1 1 1 1 0 1 - 0 1 10 0 0 00
01 1 0 0011 001 0 000 0101 0 1 1 0 0 0 1 - 0 1 11 1 1 00
10 1 0 0100 001 0 000 0100 0 1 1 1 1 0 1 - 0 1 01 1 1 00
00 1 0 0100 001 0 000 0100 0 1 1 1 1 0 1 - 0 1 10 0 0 00
01 1 0 0100 001 0 000 0100 0 1 1 0 0 0 1 - 1 1 10 1 0 00
10 1 0 0100 001 0 001 0100 0 1 1 1 0 1 1 - 1 1 11 0 0 00
00 1 0 0100 001 0 001 0100 0 1 1 0 0 1 1 - 1 1 01 1 1 00
01 1 0 0100 001 0 001 0100 0 1 1 1 1 1 1 - 1 1 01 0 0 00
10 1 0 0100 001 0 001 0100 0 1 1 0 0 1 1 - 1 1 10 0 1 00
00 1 0 0100 000 0 000 0100 0 1 1 0 1 1 1 - 1 1 11 1 1 00
01 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 0 0 00
10 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 11 0 1 00
00 1 0 0100 000 0 000 0100 0 1 1 0 1 1 1 - 1 1 11 1 0 00
01 1 0 0100 001 0 001 0100 0 1 1 1 0 1 1 - 1 1 11 1 0 00
10 1 0 0100 010 0 010 0100 0 1 1 1 0 1 1 - 1 1 10 0 0 00
00 1 0 0100 010 0 010 0100 0 1 1 0 0 1 1 - 1 1 10 0 1 00
01 1 0 0100 001 0 001 0100 0 1 1 0 1 1 1 - 1 1 01 1 1 00
10 1 0 0100 001 0 001 0100 0 1 1 1 1 1 1 - 1 1 10 1 0 00
00 1 0 0100 010 0 010 0100 0 1 1 1 0 1 1 - 1 1 11 0 1 00
01 1 0 0100 001 0 001 0100 0 1 1 0 1 1 1 - 1 1 10 1 1 00
10 1 0 0100 001 0 001 0100 0 1 1 1 1 1 1 - 1 1 11 1 1 00
00 1 0 0100 001 0 001 0100 0 1 1 1 1 1 1 - 1 1 11 1 0 00
01 1 0 0100 010 0 010 0100 0 1 1 1 0 1 1 - 1 1 11 1 0 00
10 1 0 0100 011 0 011 0100 0 1 1 1 0 1 1 - 1 1 10 0 1 00
00 1 0 0100 010 0 010 0100 0 1 1 0 1 1 1 - 1 1 01 0 0 00
01 1 0 0100 010 0 010 0100 0 1 1 0 0 1 1 - 1 1 11 0 1 00
10 1 0 0100 001 0 001 0100 0 1 1 0 1 1 1 - 1 1 11 0 1 00
00 1 0 0100 000 0 000 0100 0 1 1 0 1 1 1 - 1 1 11 0 0 00
01 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 11 1 1 00
10 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 1 0 00
00 1 0 0100 001 0 001 0100 0 1 1 1 0 1 1 - 1 1 11 0 1 00
01 1 0 0100 000 0 000 0100 0 1 1 0 1 1 1 - 1 1 11 0 0 00
10 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 11 1 1 00
00 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 1 1 00
01 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 0 0 00
10 1 0 0100 000 0 000 0100 0 1 1 0 0 1 1 - 1 1 11 1 1 00
00 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 1 1 00
01 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 0 1 00
10 1 0 0100 000 0 000 0100 0 1 1 0 1 1 1 - 1 1 11 1 1 00
00 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 1 1 00
01 1 0 0100 000 0 000 0100 0 1 1 1 1 1 1 - 1 1 11 1 0 00
10 1 0 0100 001 0 001 0100 0 1 1 1 0 1 1 - 1 1 11 1 0 00
00 1 0 0100 010 0 010 0100 0 1 1 1 0 1 1 - 1 1 11 1 0 00
01 1 0 0100 011 0 011 0100 0 1 1 1 0 1 1 - 1 1 11 0 0 00
10 1 0 0100 011 0 011 0100 0 1 1 0 0 1 1 - 1 1 11 1 0 10
00 1 1 0100 100 0 100 0100 1 1 1 1 0 1 1 - 1 1 10 1 0 10
01 1 1 0100 101 0 101 0100 1 1 1 1 0 1 1 - 1 1 10 1 0 10
10 1 1 0100 110 0 110 0100 1 1 1 1 0 1 1 - 1 1 10 1 0 10
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
00 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
01 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
10 1 1 0100 111 0 111 0100 1 1 1 1 0 1 1 - 1 1 11 1 0 11
